experiment_id,learning_rate,epochs,feature,pc1_weight,abs_weight
exp_001,0.0001,25,Military,-0.6803819357464674,0.6803819357464674
exp_001,0.0001,25,Pop.growth,-0.4654789168193477,0.4654789168193477
exp_001,0.0001,25,GDP,-0.3793474734026145,0.3793474734026145
exp_001,0.0001,25,Life.expect,0.2848019965904029,0.2848019965904029
exp_001,0.0001,25,Inflation,0.28197678760554223,0.28197678760554223
exp_001,0.0001,25,Area,0.11585971615184822,0.11585971615184822
exp_001,0.0001,25,Unemployment,0.04958562385028097,0.04958562385028097
exp_002,0.0001,50,Military,-0.6730361992309944,0.6730361992309944
exp_002,0.0001,50,Pop.growth,-0.47458078223652794,0.47458078223652794
exp_002,0.0001,50,GDP,-0.3937809410601722,0.3937809410601722
exp_002,0.0001,50,Inflation,0.3001845243793838,0.3001845243793838
exp_002,0.0001,50,Life.expect,0.2412636137053957,0.2412636137053957
exp_002,0.0001,50,Area,0.1239943365678822,0.1239943365678822
exp_002,0.0001,50,Unemployment,0.05512214290332782,0.05512214290332782
exp_003,0.0001,100,Military,-0.6498722250370869,0.6498722250370869
exp_003,0.0001,100,Pop.growth,-0.49126513353098117,0.49126513353098117
exp_003,0.0001,100,GDP,-0.4199143992490556,0.4199143992490556
exp_003,0.0001,100,Inflation,0.332777835920507,0.332777835920507
exp_003,0.0001,100,Life.expect,0.16078468555828812,0.16078468555828812
exp_003,0.0001,100,Area,0.1373962117148093,0.1373962117148093
exp_003,0.0001,100,Unemployment,0.06727581156585045,0.06727581156585045
exp_004,0.0001,500,Pop.growth,-0.5344435067323269,0.5344435067323269
exp_004,0.0001,500,GDP,-0.49568936473093567,0.49568936473093567
exp_004,0.0001,500,Military,-0.47849291734474014,0.47849291734474014
exp_004,0.0001,500,Inflation,0.4264084531428933,0.4264084531428933
exp_004,0.0001,500,Area,0.16758433746643459,0.16758433746643459
exp_004,0.0001,500,Unemployment,0.12369855340487636,0.12369855340487636
exp_004,0.0001,500,Life.expect,-0.12040227848747953,0.12040227848747953
exp_005,0.0001,1000,Pop.growth,-0.5372190602408418,0.5372190602408418
exp_005,0.0001,1000,GDP,-0.5031982939116557,0.5031982939116557
exp_005,0.0001,1000,Military,-0.4433441651191315,0.4433441651191315
exp_005,0.0001,1000,Inflation,0.43581223168968247,0.43581223168968247
exp_005,0.0001,1000,Area,0.1695025756215358,0.1695025756215358
