experiment_id,learning_rate,epochs,variance_captured,explained_variance_ratio,final_step_change,similarity_to_baseline,distance_to_baseline,top_variables,top_positive_variables,top_negative_variables,top_countries_high,top_countries_low
exp_001,0.0001,25,0.7470931894111279,0.10672759848730398,0.0020965248384335064,0.28870504842918304,0.7112949515708169,"[""Military"", ""Pop.growth"", ""GDP""]","[""Life.expect"", ""Inflation"", ""Area""]","[""Military"", ""Pop.growth"", ""GDP""]","[""Ukraine"", ""Lithuania"", ""Latvia""]","[""Greece"", ""Luxembourg"", ""Norway""]"
exp_002,0.0001,50,0.8389911925992658,0.11985588465703798,0.0020336310123869722,0.332600239063871,0.6673997609361291,"[""Military"", ""Pop.growth"", ""GDP""]","[""Inflation"", ""Life.expect"", ""Area""]","[""Military"", ""Pop.growth"", ""GDP""]","[""Ukraine"", ""Latvia"", ""Lithuania""]","[""Greece"", ""Luxembourg"", ""Norway""]"
exp_003,0.0001,100,1.033504752731155,0.14764353610445072,0.001827442867436301,0.4150795811847411,0.5849204188152589,"[""Military"", ""Pop.growth"", ""GDP""]","[""Inflation"", ""Life.expect"", ""Area""]","[""Military"", ""Pop.growth"", ""GDP""]","[""Ukraine"", ""Latvia"", ""Lithuania""]","[""Luxembourg"", ""Greece"", ""Switzerland""]"
exp_004,0.0001,500,1.9275665509838356,0.27536665014054795,0.0002999484256441625,0.6987164189966053,0.3012835810033947,"[""Pop.growth"", ""GDP"", ""Military""]","[""Inflation"", ""Area"", ""Unemployment""]","[""Pop.growth"", ""GDP"", ""Military""]","[""Ukraine"", ""Latvia"", ""Lithuania""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_005,0.0001,1000,2.0693669460233646,0.2956238494319092,2.4173867194200744e-05,0.7356399616517871,0.26436003834821287,"[""Pop.growth"", ""GDP"", ""Military""]","[""Inflation"", ""Area"", ""Unemployment""]","[""Pop.growth"", ""GDP"", ""Military""]","[""Ukraine"", ""Latvia"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_006,0.0001,3000,2.081767821538776,0.297395403076968,1.0686018089266012e-09,0.7388007265270827,0.26119927347291727,"[""Pop.growth"", ""GDP"", ""Military""]","[""Inflation"", ""Area"", ""Unemployment""]","[""Pop.growth"", ""GDP"", ""Military""]","[""Ukraine"", ""Latvia"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_007,0.001,25,2.3872141575562686,0.3410305939366098,0.030280487136803695,0.8136248403091229,0.18637515969087715,"[""Pop.growth"", ""GDP"", ""Inflation""]","[""Inflation"", ""Area"", ""Unemployment""]","[""Pop.growth"", ""GDP"", ""Military""]","[""Ukraine"", ""Latvia"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_008,0.001,50,3.156354678038856,0.450907811148408,0.008952874075538665,0.9845069032064351,0.01549309679356492,"[""GDP"", ""Pop.growth"", ""Life.expect""]","[""Inflation"", ""Unemployment"", ""Area""]","[""GDP"", ""Pop.growth"", ""Life.expect""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_009,0.001,100,3.2260830610673894,0.4608690087239128,0.0007139343604257764,0.9997644729462095,0.00023552705379048522,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
exp_010,0.001,500,3.227165514777007,0.46102364496814385,4.681327519708941e-06,0.9999994858705467,5.141294533439478e-07,"[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Inflation"", ""Unemployment"", ""Military""]","[""GDP"", ""Life.expect"", ""Pop.growth""]","[""Ukraine"", ""Bulgaria"", ""Estonia""]","[""Luxembourg"", ""Switzerland"", ""Norway""]"
