country,pc1_score
Ukraine,4.584641990103224
Bulgaria,2.609178807180033
Estonia,2.487409425533455
Latvia,2.306011441267457
Lithuania,1.5296471764442647
Poland,1.4720957960616694
Hungary,1.3965408970369249
Croatia,1.2674804936479922
Greece,0.9973765033369981
Slovakia,0.7826533159864152
Portugal,0.5253682833229195
Slovenia,0.06579425504843878
Spain,-0.16392101118640878
Czech Republic,-0.16793075952246583
Finland,-0.20989866037419214
United Kingdom,-0.3403367619014579
Germany,-0.5915762459118392
Belgium,-0.6809809889546584
Italy,-0.8530824274281998
Sweden,-0.8837855230015532
Denmark,-0.9551716859347673
Austria,-1.0806627895369678
Iceland,-1.5822161643249957
Ireland,-1.809517781444927
Netherlands,-1.8402565303787868
Norway,-2.105896596986903
Switzerland,-3.282140446390241
Luxembourg,-3.476824011691355
